d2_percentage,KEYS,SMARTS
-7.509472117041369,KLEK_1,[!#1][CH]([!#1])[!#1]
-0.6986907650399026,KLEK_2,[!#1][CH]([!#1])[CH]([!#1])[!#1]
0.0,KLEK_3,[!#1][CH]([!#1])[CH]([!#1])C([CH3])([CH3])[CH3]
0.0,KLEK_4,[!#1][CH]([!#1])[CH](C(=O)O[CH3])C(=O)O[CH3]
0.0,KLEK_5,[!#1][CH]([!#1])[CH]1[CH2][CH]([CH]([!#1])[!#1])[CH]([CH]1C(=O)[!#1])C(=O)[OH]
0.0,KLEK_6,[!#1][CH]([!#1])[CH2][CH]([CH]([CH2][CH]([!#1])[!#1])C(=O)[!#1])C(=O)[!#1]
-0.04714108427246712,KLEK_7,[!#1][CH]([!#1])[CH2][CH2][CH3]
-0.03097413659594239,KLEK_8,[!#1][CH]([!#1])[CH2][CH2]C([!#1])([!#1])[CH3]
0.0,KLEK_9,[!#1][CH]([!#1])[CH2]C(=N[NH]C(=S)[NH2])[CH2][CH3]
-0.5152276088087508,KLEK_10,[!#1][CH]([!#1])[CH2]C(=O)[!#1]
0.0,KLEK_11,[!#1][CH]([!#1])[CH2]C(=O)[CH2][CH3]
0.0,KLEK_12,[!#1][CH]([!#1])[CH2]C(=O)[CH3]
-0.10572749992377425,KLEK_13,[!#1][CH]([!#1])[CH2]N([!#1])[CH2][CH]([!#1])[!#1]
1.0250203536282037,KLEK_14,[!#1][CH]([!#1])[CH3]
0.0,KLEK_15,[!#1][CH]([!#1])[N+](=O)[O-]
-0.4867060432225596,KLEK_16,[!#1][CH]([!#1])[NH]C(=O)[!#1]
-1.8740478821110846,KLEK_17,[!#1][CH]([!#1])[OH]
-0.367005562205814,KLEK_18,[!#1][CH]([!#1])C([!#1])([!#1])[!#1]
-0.11649295192406073,KLEK_19,[!#1][CH]([!#1])C([!#1])([CH3])[CH3]
0.7107826074842372,KLEK_20,[!#1][CH]([!#1])C(=O)[!#1]
0.0,KLEK_21,[!#1][CH]([!#1])C(=O)[CH]([!#1])[!#1]
0.0,KLEK_22,[!#1][CH]([!#1])C(=O)[CH2]C([CH3])([CH3])[CH2]C([!#1])([!#1])[!#1]
0.0,KLEK_23,[!#1][CH]([!#1])C(=O)[CH3]
0.0,KLEK_24,[!#1][CH]([!#1])C(=O)[NH][NH]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH3]
0.4955486461828881,KLEK_25,[!#1][CH]([!#1])C(=O)[OH]
0.0,KLEK_26,[!#1][CH]([!#1])C(=O)c1[cH][cH][cH][cH][cH]1
-0.302337771499715,KLEK_27,[!#1][CH]([!#1])C(=O)c1[cH][cH]c([!#1])[cH][cH]1
0.0,KLEK_28,[!#1][CH]([!#1])C(=O)c1[cH][cH]c(Cl)[cH][cH]1
0.0,KLEK_29,[!#1][CH]([!#1])C(=O)c1c([CH3])[cH]c([CH3])[nH]c1=O
0.0,KLEK_30,[!#1][CH]([!#1])C(=O)c1c([CH3])[nH]c2[cH][cH][cH][cH]c12
0.0,KLEK_31,[!#1][CH]([!#1])C(=O)c1c([OH])[cH]c([CH3])oc1=O
0.0,KLEK_32,[!#1][CH]([!#1])C(=O)O[CH2][CH2]N([CH2][CH3])[CH2][CH3]
-2.2732747216133777,KLEK_33,[!#1][CH]([!#1])c1[cH][cH][cH][cH][cH]1
-0.36239656396469977,KLEK_34,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[!#1]
0.0,KLEK_35,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[N+](=O)[O-]
0.0,KLEK_36,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[OH]
-0.015487068297971194,KLEK_37,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1Cl
0.026932399676811204,KLEK_38,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1F
0.0,KLEK_39,[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1N([!#1])c2[cH][cH][cH][cH]c2[CH]([!#1])[!#1]
0.0,KLEK_40,[!#1][CH]([!#1])c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
-0.015487068297971194,KLEK_41,[!#1][CH]([!#1])c1[cH][cH][cH]c(Br)[cH]1
0.0,KLEK_42,[!#1][CH]([!#1])c1[cH][cH][cH]n[cH]1
-0.015487068297971194,KLEK_43,[!#1][CH]([!#1])c1[cH][cH][cH]o1
0.0,KLEK_44,[!#1][CH]([!#1])c1[cH][cH][cH]s1
-2.780306238527296,KLEK_45,[!#1][CH]([!#1])c1[cH][cH]c([!#1])[cH][cH]1
0.0,KLEK_46,[!#1][CH]([!#1])c1[cH][cH]c([!#1])o1
0.0,KLEK_47,[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)[CH]([!#1])[!#1]
0.0,KLEK_48,[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
0.0,KLEK_49,[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)N([!#1])[CH3]
0.0,KLEK_50,[!#1][CH]([!#1])c1[cH][cH]c([CH3])[cH]c1[CH3]
0.0,KLEK_51,[!#1][CH]([!#1])c1[cH][cH]c([CH3])o1
-0.04646120489391358,KLEK_52,[!#1][CH]([!#1])c1[cH][cH]c([OH])[cH][cH]1
-0.06194827319188478,KLEK_53,[!#1][CH]([!#1])c1[cH][cH]c(Br)[cH][cH]1
-0.25251470906522383,KLEK_54,[!#1][CH]([!#1])c1[cH][cH]c(Cl)[cH][cH]1
-0.03097413659594239,KLEK_55,[!#1][CH]([!#1])c1[cH][cH]c(Cl)[cH]c1Cl
-0.37372927728696925,KLEK_56,[!#1][CH]([!#1])c1[cH][cH]c(F)[cH][cH]1
